year,date,event
1521 CE,1521-01-01,"Jiajing Emperor ascended the throne of Ming Dynasty, China."
1521 CE,1521-01-01,"November, Ferdinand Magellan's expedition reaches Maluku (in present-day Indonesia) and after trade with Ternate returns to Europe with a load of cloves."
1521 CE,1521-01-01,"Pati Unus leads the invasion of Malacca (in present-day Malaysia) against the Portuguese occupation. Pati Unus was killed in this battle, and was succeeded by his brother, sultan Trenggana."
1522 CE,1522-01-01,"Rhodes falls to the Ottomans of Suleiman the Magnificent."
1522 CE,1522-01-01,The Portuguese ally themselves with the rulers of Ternate (in present-day Indonesia) and begin construction of a fort.
1522 CE,1522-01-01,"August, Luso-Sundanese Treaty signed between Portugal and Sunda Kingdom granted Portuguese permit to build fortress in Sunda Kelapa."
1523 CE,1523-01-01,Sweden gains independence from the Kalmar Union.
1523 CE,1523-01-01,The Cacao bean is introduced to Spain by Hernán Cortés.
1524 CE,1524-01-01,Giovanni da Verrazzano is the first European to explore the Atlantic coast of North America between South Carolina and Newfoundland.
1524 CE,1524-01-01,"Ismail I, the founder of Safavid dynasty, dies and Tahmasp I becomes king."
1525 CE,1525-01-01,"Timurid Empire forces under Babur defeat the Lodi dynasty at the First Battle of Panipat, end of the Delhi Sultanate."
1525 CE,1525-01-01,"German and Spanish forces defeat France at the Battle of Pavia, Francis I of France is captured."
1526 CE,1526-01-01,The Ottomans defeat the Kingdom of Hungary at the Battle of Mohács.
1526 CE,1526-01-01,"Mughal Empire, founded by Babur, dominates India until 1857."
1527 CE,1527-01-01,Sack of Rome with Pope Clement VII escaping and the Swiss Guards defending the Vatican being killed. The sack of the city of Rome considered the end of the Italian Renaissance.
1527 CE,1527-01-01,Protestant Reformation begins in Sweden.
1527 CE,1527-01-01,"The last ruler of Majapahit falls from power. This state (located in present-day Indonesia) was finally extinguished at the hands of the Demak. A large number of courtiers, artisans, priests, and members of the royalty moved east to the island of Bali; however, the power and the seat of government transferred to Demak under the leadership of Pangeran, later Sultan Fatah."
1527 CE,1527-01-01,"June 22, The Javanese Prince Fatahillah of the Cirebon Sultanate successfully defeated the Portuguese armed forces at the site of the Sunda Kelapa Harbor. The city was then renamed Jayakarta, meaning 'a glorious victory.' This eventful day came to be acknowledged as Jakarta's Founding Anniversary."
1527 CE,1527-01-01,Mughal Empire forces defeat the Rajput led by Rana Sanga of Mewar at the Battle of Khanwa.
1529 CE,1529-01-01,The Austrians defeat the Ottoman Empire at the siege of Vienna.
1529 CE,1529-01-01,Treaty of Zaragoza defined the antimeridian of Tordesillas attributing the Moluccas to Portugal and Philippines to Spain.
1529 CE,1529-01-01,"Imam Ahmad Gragn defeats the Ethiopian Emperor Dawit II in the Battle of Shimbra Kure, the opening clash of the Ethiopian–Adal War."
1531 CE,1531-01-01,"The Inca Civil War is fought between the two brothers, Atahualpa and Huáscar."
1532 CE,1532-01-01,Francisco Pizarro leads the Spanish conquest of the Inca Empire.
1532 CE,1532-01-01,"Foundation of São Vicente, the first permanent Portuguese settlement in the Americas."
1533 CE,1533-01-01,Anne Boleyn becomes Queen of England.
1533 CE,1533-01-01,Elizabeth Tudor is born.
1534 CE,1534-01-01,Jacques Cartier claims Canada for France.
1534 CE,1534-01-01,The Ottomans capture Baghdad from the Safavids.
1534 CE,1534-01-01,"Affair of the Placards, where King Francis I becomes more active in repression of French Protestants."
1535 CE,1535-01-01,"The Münster Rebellion, an attempt of radical, millennialist, Anabaptists to establish a theocracy, ends in bloodshed."
1535 CE,1535-01-01,The Portuguese in Ternate depose Sultan Tabariji (or Tabarija) and send him to Portuguese Goa where he converts to Christianity and bequeaths his Portuguese godfather Jordao de Freitas the island of Ambon.Hairun becomes the next sultan.
1536 CE,1536-01-01,"In England, Anne Boleyn is beheaded for adultery and treason."
1536 CE,1536-01-01,Establishment of the Inquisition in Portugal.
1536 CE,1536-01-01,Foundation of Buenos Aires (in present-day Argentina) by Pedro de Mendoza.
1537 CE,1537-01-01,"The Portuguese establish Recife in Pernambuco, north-east of Brazil."
1537 CE,1537-01-01,"William Tyndale's partial translation of the Bible into English is published, which would eventually be incorporated into the King James Bible."
1538 CE,1538-01-01,Gonzalo Jiménez de Quesada founds Bogotá.
1538 CE,1538-01-01,Spanish–Venetian fleet is defeated by the Ottoman Turks at the Battle of Preveza.
1539 CE,1539-01-01,Hernando de Soto explores inland North America.
1540 CE,1540-01-01,"The Society of Jesus, or the Jesuits, is founded by Ignatius of Loyola and six companions with the approval of Pope Paul III."
1540 CE,1540-01-01,"Sher Shah Suri founds the Suri dynasty in South Asia, an ethnic Pashtun (Pathan) of the house of Sur, who supplanted the Mughal dynasty as rulers of North India during the reign of the relatively ineffectual second Mughal emperor Humayun. Sher Shah Suri decisively defeats Humayun in the Battle of Bilgram (May 17, 1540)."
1541 CE,1541-01-01,Pedro de Valdivia founds Santiago de Chile.
1541 CE,1541-01-01,An Algerian military campaign by Charles V of Spain (Habsburg) is unsuccessful.
1541 CE,1541-01-01,Amazon River is encountered and explored by Francisco de Orellana.
1541 CE,1541-01-01,Capture of Buda and the absorption of the major part of Hungary by the Ottoman Empire.
1541 CE,1541-01-01,Sahib I Giray of Crimea invades Russia.
1542 CE,1542-01-01,"The Italian War of 1542–1546 War resumes between Francis I of France and Emperor Charles V. This time Henry VIII is allied with the Emperor, while James V of Scotland and Sultan Suleiman I are allied with the French."
1542 CE,1542-01-01,Akbar The Great is born in the Rajput Umarkot Fort.
1542 CE,1542-01-01,Spanish explorer Ruy López de Villalobos named the island of Samar and Leyte Las Islas Filipinas honoring Philip II of Spain and became the official name of the archipelago.
1543 CE,1543-01-01,Ethiopian/Portuguese troops decisively defeat the Adal-Ottoman Muslim army led by Imam Ahmad Gragn at the Battle of Wayna Daga; Imam Ahmad Gragn is killed at this battle.
1543 CE,1543-01-01,Copernicus publishes his theory that the Earth and the other planets revolve around the Sun.
1543 CE,1543-01-01,The Nanban trade period begins after Portuguese traders make contact with Japan.
1544 CE,1544-01-01,"The French defeat an Imperial–Spanish army at the Battle of Ceresole."
1544 CE,1544-01-01,"Battle of the Shirts in Scotland. The Frasers and Macdonalds of Clan Ranald fight over a disputed chiefship; reportedly, 5 Frasers and 8 Macdonalds survive."
1545 CE,1545-01-01,Songhai forces sack the Malian capital of Niani.
1545 CE,1545-01-01,The Council of Trent meets for the first time in Trent (in northern Italy).
1546 CE,1546-01-01,Michelangelo Buonarroti is made chief architect of St. Peter's Basilica.
1546 CE,1546-01-01,"Francis Xavier works among the peoples of Ambon, Ternate and Morotai (Moro) laying the foundations for a permanent mission. (to 1547)."
1547 CE,1547-01-01,Henry VIII dies in the Palace of Whitehall on 28 January at the age of 55.
1547 CE,1547-01-01,Francis I dies in the Château de Rambouillet on 31 March at the age of 52.
1547 CE,1547-01-01,Edward VI becomes King of England and Ireland on 28 January and is crowned on 20 February at the age of 9.
1547 CE,1547-01-01,Emperor Charles V decisively dismantles the Schmalkaldic League at the Battle of Mühlberg.
1547 CE,1547-01-01,"Grand Prince Ivan the Terrible is crowned tsar of (All) Russia, thenceforth becoming the first Russian tsar."
1548 CE,1548-01-01,"Battle of Uedahara: Firearms are used for the first time on the battlefield in Japan, and Takeda Shingen is defeated by Murakami Yoshikiyo."
1548 CE,1548-01-01,"Askia Daoud, who reigned from 1548 to 1583, establishes public libraries in Timbuktu (in present-day Mali)."
1548 CE,1548-01-01,The Ming Dynasty government of China issues a decree banning all foreign trade and closes down all seaports along the coast; these Hai jin laws came during the Wokou wars with Japanese pirates.
1549 CE,1549-01-01,"Tomé de Sousa establishes Salvador in Bahia, north-east of Brazil."
1549 CE,1549-01-01,"Arya Penangsang with the support of his teacher, Sunan Kudus, avenges the death of Raden Kikin by sending an envoy named Rangkud to kill Sunan Prawoto by Keris Kyai Satan Kober (in present-day Indonesia)."
1550 CE,1550-01-01,The architect Mimar Sinan builds the Süleymaniye Mosque in Istanbul.
1550 CE,1550-01-01,Mongols led by Altan Khan invade China and besiege Beijing.
1551 CE,1551-01-01,Fifth outbreak of sweating sickness in England. John Caius of Shrewsbury writes the first full contemporary account of the symptoms of the disease.
1551 CE,1551-01-01,"North African pirates enslave the entire population of the Maltese island Gozo, between 5,000 and 6,000, sending them to Libya."
1552 CE,1552-01-01,Russia conquers the Khanate of Kazan in central Asia.
1552 CE,1552-01-01,"Jesuit China Mission, Francis Xavier dies."
1553 CE,1553-01-01,Mary Tudor becomes the first queen regnant of England and restores the Church of England under Papal authority.
1553 CE,1553-01-01,The Portuguese found a settlement at Macau.
1554 CE,1554-01-01,"Missionaries José de Anchieta and Manuel da Nóbrega establishes São Paulo, southeast Brazil."
1554 CE,1554-01-01,Princess Elizabeth is imprisoned in the Tower of London upon the orders of Mary I for suspicion of being involved in the Wyatt rebellion.
1555 CE,1555-01-01,The Muscovy Company is the first major English joint stock trading company.
1556 CE,1556-01-01,"Publication in Venice of Delle Navigiationi et Viaggi (terzo volume) by Giovanni Battista Ramusio, secretary of Council of Ten, with plan La Terra de Hochelaga, an illustration of the Hochelaga."
1556 CE,1556-01-01,The Shaanxi earthquake in China is history's deadliest known earthquake during the Ming dynasty.
1556 CE,1556-01-01,"Georgius Agricola, the 'Father of Mineralogy', publishes his De re metallica."
1556 CE,1556-01-01,Akbar defeats Hemu at the Second battle of Panipat.
1556 CE,1556-01-01,Russia conquers the Astrakhan Khanate.
1556 CE,1556-01-01,Mir Chakar Khan Rind captures Delhi with Humayun.
1556 CE,1556-01-01,"Pomponio Algerio, radical theologian, is executed by boiling in oil as part of the Roman inquisition."
1557 CE,1557-01-01,"Habsburg Spain declares bankruptcy. Philip II of Spain had to declare four state bankruptcies in 1557, 1560, 1575 and 1596."
1557 CE,1557-01-01,The Portuguese settle in Macau (on the western side of the Pearl River Delta across from present-day Hong Kong).
1557 CE,1557-01-01,"The Ottomans capture Massawa, all but isolating Ethiopia from the rest of the world."
1558 CE,1558-01-01,Elizabeth Tudor becomes Queen Elizabeth I at age 25.
1558 CE,1558-01-01,"After 200 years, the Kingdom of England loses Calais to France."
1559 CE,1559-01-01,"With the Peace of Cateau Cambrésis, the Italian Wars conclude."
1559 CE,1559-01-01,Sultan Hairun of Ternate (in present-day Indonesia) protests the Portuguese's Christianisation activities in his lands. Hostilities between Ternate and the Portuguese.
1560 CE,1560-01-01,Ottoman navy defeats the Spanish fleet at the Battle of Djerba.
1560 CE,1560-01-01,"Elizabeth Bathory is born in Nyirbator, Hungary."
1560 CE,1560-01-01,"By winning the Battle of Okehazama, Oda Nobunaga becomes one of the pre-eminent warlords of Japan."
1560 CE,1560-01-01,Jeanne d'Albret declares Calvinism the official religion of Navarre.
1560 CE,1560-01-01,"Lazarus Church, Macau."
1561 CE,1561-01-01,Sir Francis Bacon is born in London.
1561 CE,1561-01-01,The fourth battle of Kawanakajima between the Uesugi and Takeda at Hachimanbara takes place.
1561 CE,1561-01-01,Guido de Bres draws up the Belgic Confession of Protestant faith.
1562 CE,1562-01-01,Mughal emperor Akbar reconciles the Muslim and Hindu factions by marrying into the powerful Rajput Hindu caste.
1562 CE,1562-01-01,Massacre of Wassy and Battle of Dreux in the French Wars of Religion.
1562 CE,1562-01-01,Portuguese Dominican priests build a palm-trunk fortress which Javanese Muslims burned down the following year. The fort was rebuilt from more durable materials and the Dominicans commenced the Christianisation of the local population.
1563 CE,1563-01-01,"Plague outbreak claimed 80,000 people in Elizabethan England. In London alone, over 20,000 people died of the disease."
1564 CE,1564-01-01,Galileo Galilei born on February 15.
1564 CE,1564-01-01,William Shakespeare baptized 26 April.
1565 CE,1565-01-01,Deccan sultanates defeat the Vijayanagara Empireat the Battle of Talikota.
1565 CE,1565-01-01,Mir Chakar Khan Rind dies at aged 97.
1565 CE,1565-01-01,Estácio de Sá establishes Rio de Janeiro in Brazil.
1565 CE,1565-01-01,"The Hospitallers, a Crusading Order, defeat the Ottoman Empire at the siege of Malta (1565)."
1565 CE,1565-01-01,Miguel López de Legazpi establishes in Cebu the first Spanish settlement in the Philippines starting a period of Spanish colonization that would last over three hundred years.
1565 CE,1565-01-01,"Spanish navigator Andres de Urdaneta discovers the maritime route from Asia to the Americas across the Pacific Ocean, also known as the tornaviaje."
1565 CE,1565-01-01,Royal Exchange is founded by Thomas Gresham.
1566 CE,1566-01-01,"Suleiman the Magnificent, ruler of the Ottoman Empire, dies on September 7, during the battle of Szigetvar."
1566 CE,1566-01-01,"Da le Balle Contrade d'Oriente, composed by Cipriano de Rore."
1567 CE,1567-01-01,"After 45 years' reign, Jiajing Emperor died in the Forbidden City, Longqing Emperor ascended the throne of Ming Dynasty."
1567 CE,1567-01-01,"Mary, Queen of Scots, is imprisoned by Elizabeth I."
1568 CE,1568-01-01,"The Transylvanian Diet, under the patronage of the prince John Sigismund Zápolya, the former king of Hungary, inspired by the teachings of Ferenc Dávid, the founder of the Unitarian Church of Transylvania, promulgates the Edict of Torda, the first law of freedom of religion and of conscience in the World."
1568 CE,1568-01-01,"Hadiwijaya sent his adopted son and son in-law Sutawijaya, who would later become the first ruler of the Mataram dynasty of Indonesia, to kill Arya Penangsang."
1569 CE,1569-01-01,Rising of the North in England.
1569 CE,1569-01-01,Mercator 1569 world map published by Gerardus Mercator.
1569 CE,1569-01-01,The Polish–Lithuanian Commonwealth is created with the Union of Lublin which lasts until 1795.
1569 CE,1569-01-01,Peace treaty signed by Sultan Hairun of Ternate and Governor Lopez De Mesquita of Portugal.
1570 CE,1570-01-01,"Ivan the Terrible, tsar of Russia, orders the massacre of inhabitants of Novgorod."
1570 CE,1570-01-01,"Pope Pius V issues Regnans in Excelsis, a papal bull excommunicating all who obeyed Elizabeth I and calling on all Catholics to rebel against her."
1570 CE,1570-01-01,Sultan Hairun of Ternate (in present-day Indonesia) is killed by the Portuguese.Babullah becomes the next Sultan.
1571 CE,1571-01-01,Pope Pius V completes the Holy League as a united front against the Ottoman Turks.
1571 CE,1571-01-01,The Spanish-led Holy League navy destroys the Ottoman Empire navy at the Battle of Lepanto.
1571 CE,1571-01-01,"Crimean Tatars attack and sack Moscow, burning everything but the Kremlin."
1571 CE,1571-01-01,"American Indians kill Spanish missionaries in what would later be Jamestown, Virginia."
1571 CE,1571-01-01,"Spanish conquistador Miguel López de Legazpi establishes Manila, Philippines as the capital of the Spanish East Indies."
1572 CE,1572-01-01,"Brielle is taken from Habsburg Spain by Protestant Watergeuzen in the Capture of Brielle, in the Eighty Years' War."
1572 CE,1572-01-01,"Spanish conquistadores apprehend the last Inca leader Tupak Amaru at Vilcabamba, Peru, and execute him in Cuzco."
1572 CE,1572-01-01,Jeanne d'Albret dies aged 43 and is succeeded by Henry of Navarre.
1572 CE,1572-01-01,Catherine de' Medici instigates the St. Bartholomew's Day massacre which takes the lives of Protestant leader Gaspard de Coligny and thousands of Huguenots. The violence spreads from Paris to other cities and the countryside.
1572 CE,1572-01-01,"First edition of the epic The Lusiads of Luís Vaz de Camões, three years after the author returned from the East."
1572 CE,1572-01-01,"The 9 years old Taizi, Zhu Yijun ascended the throne of Ming Dynasty, known as Wanli Emperor."
1573 CE,1573-01-01,"After heavy losses on both sides the siege of Haarlem ends in a Spanish victory."
1574 CE,1574-01-01,"In the Eighty Years' War the capital of Zeeland, Middelburg declares for the Protestants."
1574 CE,1574-01-01,After a siege of 4 months the siege of Leiden ends in a comprehensive Dutch rebel victory.
1575 CE,1575-01-01,Oda Nobunaga finally captures Nagashima fortress.
1575 CE,1575-01-01,"Following a five-year war, the Ternateans under Sultan Babullah defeated the Portuguese."
1576 CE,1576-01-01,"Tahmasp I, Safavid shah, dies."
1576 CE,1576-01-01,"The Battle of Haldighati is fought between the ruler of Mewar, Maharana Pratap and the Mughal Empire's forces under Emperor Akbar led by Raja Man Singh."
1576 CE,1576-01-01,Sack of Antwerp by badly paid Spanish soldiers.
1577 CE,1577-01-01,Ki Ageng Pemanahan built his palace in Pasargede or Kotagede.
1578 CE,1578-01-01,King Sebastian of Portugal is killed at the Battle of Alcazarquivir.
1578 CE,1578-01-01,The Portuguese establish a fort on Tidore but the main centre for Portuguese activities in Maluku becomes Ambon.
1578 CE,1578-01-01,"Sonam Gyatso is conferred the title of Dalai Lama by Tumed Mongol ruler, Altan Khan. Recognised as the reincarnation of two previous Lamas, Sonam Gyatso becomes the third Dalai Lama in the lineage."
1579 CE,1579-01-01,"The Union of Utrecht unifies the northern Netherlands, a foundation for the later Dutch Republic."
1579 CE,1579-01-01,"The Union of Arras unifies the southern Netherlands, a foundation for the later states of the Spanish Netherlands, the Austrian Netherlands and Belgium."
1579 CE,1579-01-01,The British navigator Sir Francis Drake passes through Maluku and transit in Ternate on his circumnavigation of the world. The Portuguese establish a fort on Tidore but the main centre for Portuguese activities in Maluku becomes Ambon.
1580 CE,1580-01-01,Drake's royal reception after his attacks on Spanish possessions influences Philip II of Spain to build up the Spanish Armada. English ships in Spanish harbours are impounded.
1580 CE,1580-01-01,"Spain unifies with Portugal under Philip II. The struggle for the throne of Portugal ends the Portuguese Empire. The Spanish and Portuguese crowns are united for 60 years, i.e. until 1640."
1581 CE,1581-01-01,"Dutch Act of Abjuration, declaring abjuring allegiance to Philip II of Spain."
1581 CE,1581-01-01,Bayinnaung dies at the age of 65.
1582 CE,1582-01-01,"Oda Nobunaga commits seppuku during the Honnō-ji Incident coup by his general, Akechi Mitsuhide."
1582 CE,1582-01-01,"Pope Gregory XIII issues the Gregorian calendar. The last day of the Julian calendar was Thursday, 4 October 1582 and this was followed by the first day of the Gregorian calendar, Friday, 15 October 1582."
1582 CE,1582-01-01,Yermak Timofeyevich conquers the Siberia Khanate on behalf of the Stroganovs.
1583 CE,1583-01-01,"Denmark builds the world's first theme park, Bakken."
1583 CE,1583-01-01,Death of Sultan Babullah of Ternate.
1584 CE,1584-01-01,"Ki Ageng Pemanahan died. Sultan Pajang raised Sutawijaya, son of Ki Ageng Pemanahan as the new ruler in Mataram, titled 'Loring Ngabehi Market' (because of his home in the north of the market)."
1585 CE,1585-01-01,"Akbar annexes Kashmir and adds it to the Kabul Subah."
1585 CE,1585-01-01,Colony at Roanoke founded in North America.
1587 CE,1587-01-01,"Mary, Queen of Scots is executed by Elizabeth I."
1587 CE,1587-01-01,The reign of Abbas I marks the zenith of the Safavid dynasty.
1587 CE,1587-01-01,Troops that would invade Pajang Mataram Sultanate storm ravaged the eruption of Mount Merapi. Sutawijaya and his men survived.
1588 CE,1588-01-01,"Mataram into the kingdom with Sutawijaya as Sultan, titled 'Senapati Ingalaga Sayidin Panatagama' means the warlord and cleric Manager Religious Life."
1588 CE,1588-01-01,England repulses the Spanish Armada.
1589 CE,1589-01-01,Spain repulses the English Armada.
1589 CE,1589-01-01,Catherine de' Medici dies at aged 69.
1590 CE,1590-01-01,"Siege of Odawara: the Go-Hojo clan surrender to Toyotomi Hideyoshi, and Japan is unified."
1591 CE,1591-01-01,Gazi Giray leads a huge Tatar expedition against Moscow.
1591 CE,1591-01-01,"In Mali, Moroccan forces of the Sultan Ahmad al-Mansur led by Judar Pasha defeat the Songhai Empire at the Battle of Tondibi."
1594 CE,1594-01-01,"St. Paul's College, Macau, founded by Alessandro Valignano."
1595 CE,1595-01-01,First Dutch expedition to Indonesia sets sail for the East Indies with two hundred and forty-nine men and sixty-four cannons led by Cornelis de Houtman.
1596 CE,1596-01-01,Birth of René Descartes.
1596 CE,1596-01-01,"June, de Houtman's expedition reaches Banten the main pepper port of West Java where they clash with both the Portuguese and Indonesians. It then sails east along the north coast of Java losing twelve crew to a Javanese attack at Sidayu and killing a local ruler in Madura."
1597 CE,1597-01-01,Romeo and Juliet is published.
1597 CE,1597-01-01,Cornelis de Houtman's expedition returns to the Netherlands with enough spices to make a considerable profit.
1598 CE,1598-01-01,The Edict of Nantes ends the French Wars of Religion.
1598 CE,1598-01-01,Abbas I moves Safavids capital from Qazvin to Isfahan in 1598.
1598 CE,1598-01-01,The Portuguese require an armada of 90 ships to put down a Solorese uprising. (to 1599).
1598 CE,1598-01-01,"More Dutch fleets leave for Indonesia and most are profitable."
1598 CE,1598-01-01,"The province of Santa Fe de Nuevo México is established in Northern New Spain. The region would later become a territory of Mexico, the New Mexico Territory in the United States, and the US State of New Mexico."
1598 CE,1598-01-01,"Death of Toyotomi Hideyoshi, known as the unifier of Japan."
1599 CE,1599-01-01,The Mali Empire is defeated at the Battle of Jenné.
1599 CE,1599-01-01,The van Neck expedition returns to Europe. The expedition makes a 400 per cent profit. (to 1600).
1599 CE,1599-01-01,"March, Leaving Europe the previous year, a fleet of eight ships under Jacob van Neck was the first Dutch fleet to reach the ‘Spice Islands’ of Maluku."
1600 CE,1600-01-01,"Giordano Brunois burned at the stake for heresy in Rome."
1600 CE,1600-01-01,Battle of Sekigahara in Japan. End of the Warring States period and beginning of the Edo period.
1600 CE,1600-01-01,"The Portuguese win a major naval battle in the bay of Ambon. Later in the year, the Dutch join forces with the local Hituese in an anti-Portuguese alliance, in return for which the Dutch would have the sole right to purchase spices from Hitu."
1600 CE,1600-01-01,Elizabeth I grants a charter to the British East India Company beginning the English advance in Asia.
1600 CE,1600-01-01,"Michael the Brave unifies the three Romanian principalities: Wallachia, Moldavia and Transylvania after the Battle of Șelimbăr from 1599."
1601 CE,1601-01-01,"In the Battle of Kinsale, England defeats Irish and Spanish forces, driving the Gaelic aristocracy out of Ireland and destroying the Gaelic clan system."
1602 CE,1602-01-01,"Matteo Ricci produces the Map of the Myriad Countries of the World (坤輿萬國全圖, Kūnyú Wànguó Quántú), a world map that will be used throughout East Asia for centuries."
1602 CE,1602-01-01,The Dutch East India Company (VOC) is established by merging competing Dutch trading companies. Its success contributes to the Dutch Golden Age.
1603 CE,1603-01-01,"Elizabeth I of England dies and is succeeded by her cousin King James VI of Scotland, uniting the crowns of Scotland and England."
1603 CE,1603-01-01,"Tokugawa Ieyasu takes the title of shōgun, establishing the Tokugawa shogunate. This begins the Edo period, which will last until 1868."
1603 CE,1603-01-01,"In Nagasaki, the Portuguese Jesuit missionary João Rodrigues publishes Nippo Jisho, the first dictionary of Japanese to a European (Portuguese) language."
1605 CE,1605-01-01,"The King of Gowa, a Makassarese kingdom in South Sulawesi, converts to Islam."
1606 CE,1606-01-01,The Long Turkish War between the Ottoman Empire and Austria is ended with the Peace of Zsitvatorok—Austria abandons Transylvania.
1606 CE,1606-01-01,Treaty of Vienna ends an anti-Habsburg uprising in Royal Hungary.
1607 CE,1607-01-01,Flight of the Earls (the fleeing of most of the native Gaelic aristocracy) occurs from County Donegal in the west of Ulster in Ireland.
1607 CE,1607-01-01,Iskandar Muda becomes the Sultan of Aceh for 30 years. He will launch a series of naval conquests that will transform Aceh into a great power in the western Malay Archipelago.
1610 CE,1610-01-01,The Polish–Lithuanian Commonwealth army defeats combined Russian–Swedish forces at the Battle of Klushino and conquers Moscow.
1610 CE,1610-01-01,King Henry IV of France is assassinated by François Ravaillac.
1611 CE,1611-01-01,"The Pontifical and Royal University of Santo Tomas, the oldest existing university in Asia, is established by the Dominican Order in Manila."
1611 CE,1611-01-01,The first publication of the King James Bible.
1612 CE,1612-01-01,"The first Cotswold Olympic Games, an annual public celebration of games and sports begins in the Cotswolds, England."
1613 CE,1613-01-01,"The Time of Troubles in Russia ends with the establishment of the House of Romanov, which rules until 1917."
1613 CE,1613-01-01,The Dutch East India Company is forced to evacuate Gresik due to the Mataram siege in neighboring Surabaya. The dutch negotiates with Mataram and is allowed to set up a trading post in Jepara.
1616 CE,1616-01-01,The last remaining Moriscos (Moors who had nominally converted to Christianity) in Spain are expelled.
1616 CE,1616-01-01,English poet and playwright William Shakespeare dies.
1618 CE,1618-01-01,The Defenestration of Prague.
1618 CE,1618-01-01,"The Bohemian Revolt precipitates the Thirty Years' War, which devastates Europe in the years 1618–48."
1618 CE,1618-01-01,The Manchus start invading China. Their conquest eventually topples the Ming dynasty.
1619 CE,1619-01-01,European slaving reaches America when the first Africans are brought to the present-day United States.
1619 CE,1619-01-01,"The Dutch East India Company storm Jayakarta and withstand a months-long siege by the combined English, Bantenese and Jayakartan forces. They are relieved by Jan Pieterszoon Coen and a fleet of ships from Ambon. The dutch destroys Jayakarta and builds its new headquarters, Batavia, on top of it."
1620 CE,1620-01-01,Bethlen Gabor allies with the Ottomans and an invasion of Moldavia takes place. The Polish suffer a disaster at Cecora on the River Prut.
1620 CE,1620-01-01,"The Mayflower sets sail from Plymouth, England to what became the Plymouth Colony in New England."
1621 CE,1621-01-01,The Battle of Chocim: Poles and Cossacks under Jan Karol Chodkiewicz defeat the Ottomans.
1622 CE,1622-01-01,"Jamestown massacre: Algonquian natives kill 347 English settlers outside Jamestown, Virginia (approximately one-third of the colony's population) and burn the Henricus settlement."
1626 CE,1626-01-01,St. Peter's Basilica in the Vatican completed.
1627 CE,1627-01-01,Aurochs go extinct.
1629 CE,1629-01-01,"Abbas I, the Safavids king, died."
1629 CE,1629-01-01,Cardinal Richelieu allies with Swedish Protestant forces in the Thirty Years' War to counter Ferdinand II's expansion.
1630 CE,1630-01-01,"Birth of Shivaji at Shivneri fort, in present day Maharashtra, India, who later founded Maratha Empire in year 1674."
1631 CE,1631-01-01,Mount Vesuvius erupts.
1632 CE,1632-01-01,"Battle of Lützen, death of king of Sweden Gustav II Adolf."
1632 CE,1632-01-01,"Taj Mahal building work started in Agra, India."
1633 CE,1633-01-01,Galileo Galilei arrives in Rome for his trial before the Inquisition.
1634 CE,1634-01-01,Battle of Nördlingen results in Catholic victory.
1636 CE,1636-01-01,"Harvard University is founded in Cambridge, Massachusetts."
1637 CE,1637-01-01,"Shimabara Rebellion of Japanese Christians, rōnin and peasants against Edo."
1637 CE,1637-01-01,"The first opera house, Teatro San Cassiano, opens in Venice."
1637 CE,1637-01-01,Qing dynasty attacked the Joseon dynasty.
1639 CE,1639-01-01,Naval Battle of the Downs – Republic of the United Provinces fleet decisively defeats a Spanish fleet in English waters.
1639 CE,1639-01-01,Disagreements between the Farnese and Barberini Pope Urban VIII escalate into the Wars of Castro and last until 1649.
1641 CE,1641-01-01,"The Irish Rebellion, by Irish Catholics who wanted an end to discrimination, greater self-governance, and reverse ownership of the plantations of Ireland."
1641 CE,1641-01-01,René Descartes publishes Meditationes de prima philosophia Meditations on First Philosophy.
1642 CE,1642-01-01,"Beginning of English Civil War, conflict will end in 1649 with the execution of King Charles I, abolishment of the monarchy and the establishment of the supremacy of Parliament over the king."
1643 CE,1643-01-01,"L'incoronazione di Poppea, Monterverdi."
1644 CE,1644-01-01,The Manchu conquer China ending the Ming dynasty. The subsequent Qing dynasty rules until 1912.
1648 CE,1648-01-01,"The Peace of Westphalia ends the Thirty Years' War and the Eighty Years' War and marks the ends of Spain and the Holy Roman Empire as major European powers."
1649 CE,1649-01-01,"King Charles I is executed for high treason, the first and only English king to be subjected to legal proceedings in a High Court of Justice and put to death."
1651 CE,1651-01-01,English Civil War ends with the Parliamentarian victory at the Battle of Worcester.
1657 CE,1657-01-01,"Sambhaji, the second King of Maratha Empire and eldest son of King Shivaji was born at Purandar Fort on 14 May."
1658 CE,1658-01-01,"After his father Shah Jahan completes the Taj Mahal, his son Aurangzeb deposes him as ruler of the Mughal Empire."
1659 CE,1659-01-01,King Shivaji killed Adil Shahi dynasty's general Afzal Khan at Pratapgad fort on 9 November.
1660 CE,1660-01-01,The Commonwealth of England ends and the monarchy is brought back during the English Restoration.
1660 CE,1660-01-01,The Royal Society is founded.
1661 CE,1661-01-01,The reign of the Kangxi Emperor of China begins.
1663 CE,1663-01-01,Ottoman war against Habsburg Hungary.
1664 CE,1664-01-01,The Battle of St. Gotthard: count Raimondo Montecuccoli defeats the Ottomans. The Peace of Vasvar – intended to keep the peace for 20 years.
1665 CE,1665-01-01,Maratha King Shivaji signed the Treaty of Purandar with Mughal general Jai Singh I after Battle of Purandar.
1665 CE,1665-01-01,Robert Hooke discovers cells using a microscope.
